id,hash,uid,space_id,title,thumbnail,sync_room_id,deleted,cdate,udate
264599,b0fce3c2c7dbba2631f3de45a2b6627e,4550601,745096,AI Studio Sheet,ai-studio-b0fce3c2c7dbba2631f3de45a2b6627e,sheet-b0fce3c2c7dbba2631f3de45a2b6627e,0,2026-07-17 09:13:45,2026-07-17 11:18:28
195879,8f147f944146a2eb0f0873fcce0047fb,4550601,745096,AI Studio Sheet,ai-studio-8f147f944146a2eb0f0873fcce0047fb,sheet-8f147f944146a2eb0f0873fcce0047fb,0,2026-07-03 09:54:18,2026-07-03 10:17:32
147127,b697c1ded0af5cab198274e0133192a1,4550601,745096,AI Studio Sheet,ai-studio-b697c1ded0af5cab198274e0133192a1,sheet-b697c1ded0af5cab198274e0133192a1,0,2026-06-23 12:16:54,2026-07-01 10:30:00
115891,d3f57b80ec87897d41c09e48949fb499,4550601,745096,AI Studio Sheet,ai-studio-d3f57b80ec87897d41c09e48949fb499,sheet-d3f57b80ec87897d41c09e48949fb499,0,2026-06-17 14:15:24,2026-06-23 12:42:35
103139,b343753528df125549e667a8e9b631c8,4550601,745096,insta,ai-studio-b343753528df125549e667a8e9b631c8,sheet-b343753528df125549e667a8e9b631c8,0,2026-06-15 13:37:03,2026-07-03 14:17:51
101099,588189344c2b55c49a0649a0603b904e,4550601,745096,AI Studio Sheet,ai-studio-588189344c2b55c49a0649a0603b904e,sheet-588189344c2b55c49a0649a0603b904e,0,2026-06-15 07:02:44,2026-06-22 12:03:01
31552,4456b18b6b2d723f850bb9659ca5fbb7,4550601,745096,PINTEREST - AGENT,ai-studio-4456b18b6b2d723f850bb9659ca5fbb7,sheet-4456b18b6b2d723f850bb9659ca5fbb7,0,2026-06-01 14:34:54,2026-07-15 11:50:51
30236,f6d91f7791bfd76e07260a6ab5769711,4550601,745096,AI Studio Sheet,ai-studio-f6d91f7791bfd76e07260a6ab5769711,sheet-f6d91f7791bfd76e07260a6ab5769711,0,2026-06-01 06:55:18,2026-06-01 07:20:42
14990,afeb8479d7222d3623249339e319aa4c,4550601,745096,AI Studio Sheet,ai-studio-afeb8479d7222d3623249339e319aa4c,sheet-afeb8479d7222d3623249339e319aa4c,0,2026-05-27 08:41:45,2026-06-01 08:03:29
14926,bed619d47ad9f4fbfc31f106bd187ac1,4550601,745096,AI Studio Sheet,ai-studio-bed619d47ad9f4fbfc31f106bd187ac1,sheet-bed619d47ad9f4fbfc31f106bd187ac1,0,2026-05-27 07:41:42,2026-06-01 08:06:40
11878,7e68f7db022a812272d01b6526a7cf92,4550601,745096,AI Studio Sheet,ai-studio-7e68f7db022a812272d01b6526a7cf92,sheet-7e68f7db022a812272d01b6526a7cf92,1,2026-05-25 06:37:59,2026-05-27 07:15:13
9006,ca782a4056d02fb335b6cbde49d95e0f,4550601,745096,AI Studio Sheet,ai-studio-ca782a4056d02fb335b6cbde49d95e0f,sheet-ca782a4056d02fb335b6cbde49d95e0f,0,2026-05-22 07:29:14,2026-06-01 08:05:31
6630,209d4168cb1f4279522d1c0105848d14,4550601,745096,AI Studio Sheet,ai-studio-209d4168cb1f4279522d1c0105848d14,sheet-209d4168cb1f4279522d1c0105848d14,0,2026-05-20 07:05:19,2026-06-01 08:06:21
1018,e25ad54d638014885e13cac4aacc2c1a,4550601,745096,AI Studio Sheet,ai-studio-e25ad54d638014885e13cac4aacc2c1a,sheet-e25ad54d638014885e13cac4aacc2c1a,0,2026-05-15 13:28:04,2026-06-01 08:04:43
986,64211ebcf8549a0c51b8bdeeae18601f,4550601,745096,render enhancer,ai-studio-64211ebcf8549a0c51b8bdeeae18601f,sheet-64211ebcf8549a0c51b8bdeeae18601f,0,2026-05-15 13:07:30,2026-06-01 08:05:55
726,5c1d7eb759f912f146f72afd089af333,4550601,745096,VISKAS,ai-studio-5c1d7eb759f912f146f72afd089af333,sheet-5c1d7eb759f912f146f72afd089af333,0,2026-05-15 09:24:27,2026-06-23 07:20:25
26,f2da35e03622e2cc4aa804f1643f1fde,4550601,745096,AI Studio Sheet,ai-studio-f2da35e03622e2cc4aa804f1643f1fde,sheet-f2da35e03622e2cc4aa804f1643f1fde,0,2026-05-14 09:13:41,2026-06-01 08:04:00

