id,type,pid,cdate,udate,uid,space_id,name,color,deleted
1124103,textures,0,2023-12-13 13:49:56,2023-12-13 13:49:56,4550601,,dkjksjldsj,,0
489357,snapshots,0,2022-04-25 13:12:47,2022-04-29 12:14:51,4550601,,2,,1
323665,projects,323664,2020-09-15 11:31:23,2020-09-15 11:32:26,4550601,,New Folder,,1
323664,projects,323663,2020-09-15 11:31:19,2020-09-15 11:32:26,4550601,,New Folder,,1
323663,projects,0,2020-09-15 11:31:09,2020-09-15 11:32:32,4550601,,fffff,,1
291017,projects,0,2020-03-04 15:09:31,2020-03-12 08:49:20,4550601,,Tušti kambariai,,0
287103,projects,0,2020-01-06 14:14:22,2020-01-06 14:14:22,4550601,,Christmas,,0
287099,projects,0,2020-01-06 13:37:46,2020-01-06 13:37:46,4550601,,Other,,0
282928,textures,0,2019-10-28 15:10:48,2019-10-28 15:10:48,4550601,,3D panels,,0
282926,textures,0,2019-10-28 15:06:35,2019-10-28 15:06:35,4550601,,Mouldings,,0
282925,textures,0,2019-10-28 15:06:09,2019-10-28 15:06:09,4550601,,Stone/Concrete,,0
282924,textures,0,2019-10-28 15:05:58,2019-10-28 15:05:58,4550601,,Textile,,0
282923,textures,0,2019-10-28 15:05:42,2019-10-28 15:05:42,4550601,,Picture,,0
281822,projects,0,2019-10-10 11:27:47,2020-02-03 07:54:10,4550601,,Galerija,,1
278950,projects,268131,2019-08-28 08:53:33,2019-08-28 08:55:37,4550601,,New Folder,,1
278949,projects,268123,2019-08-28 08:53:29,2019-08-28 08:55:40,4550601,,New Folder,,1
278948,projects,268123,2019-08-28 08:47:49,2019-08-28 08:48:22,4550601,,test,,1
278947,projects,278946,2019-08-28 08:47:39,2019-08-28 08:48:25,4550601,,test,,1
278946,projects,268123,2019-08-28 08:47:29,2019-08-28 08:48:25,4550601,,test,,1
269966,projects,0,2019-05-24 12:52:36,2019-05-24 12:52:36,4550601,,Stiliai/ Baldai,,0
268141,projects,0,2019-05-06 13:07:45,2019-05-06 13:07:45,4550601,,Youtube,,0
268140,projects,0,2019-05-06 13:07:40,2019-05-06 13:07:40,4550601,,Reddit,,0
268139,projects,0,2019-05-06 13:07:32,2019-05-06 13:07:32,4550601,,Izometrija,,0
268137,projects,0,2019-05-06 12:39:39,2019-05-06 12:39:39,4550601,,B2B,,0
268136,projects,0,2019-05-06 12:39:21,2019-05-06 12:39:21,4550601,,Architecture,,0
268135,projects,0,2019-05-06 12:39:15,2019-05-06 12:39:15,4550601,,Interior,,0
268134,projects,0,2019-05-06 12:39:08,2019-05-06 12:39:08,4550601,,Scenos,,0
268133,projects,0,2019-05-06 12:38:51,2019-05-06 12:38:51,4550601,,Demo,,0
268132,projects,0,2019-05-06 12:38:42,2019-05-06 12:38:42,4550601,,Pakeisti,,0
268131,projects,0,2019-05-06 12:36:50,2019-05-06 12:36:50,4550601,,Kursų projektai,,0
268123,projects,0,2019-05-06 11:26:00,2019-09-09 12:58:01,4550601,,Ikea,,0
181036,textures,0,2017-10-13 13:44:31,2017-10-13 13:44:31,4550601,,Wallpaper,,0
181035,textures,0,2017-10-13 13:43:42,2017-10-13 13:43:42,4550601,,Brick,,0
181034,textures,0,2017-10-13 13:42:33,2017-10-13 13:42:33,4550601,,Tile,,0
181033,textures,0,2017-10-13 13:41:23,2019-10-28 15:05:32,4550601,,Wood,,0

