id,hash,uid,space_id,title,thumbnail,sync_room_id,deleted,cdate,udate
280511,eae7437fc3f57ae7683a8d21f5ea308b,179895932,5998468,AI Studio Sheet,ai-studio-eae7437fc3f57ae7683a8d21f5ea308b,sheet-eae7437fc3f57ae7683a8d21f5ea308b,0,2026-07-20 10:14:28,2026-07-20 10:49:59
225775,7f3475a04cea98a6842c35db7e676167,179895932,5998468,AI Studio Sheet,ai-studio-7f3475a04cea98a6842c35db7e676167,sheet-7f3475a04cea98a6842c35db7e676167,0,2026-07-09 15:57:02,2026-07-14 15:53:49
185120,10996f69427bfe7314a47d5b3540d2d8,179895932,5998468,AI Studio Sheet,ai-studio-10996f69427bfe7314a47d5b3540d2d8,sheet-10996f69427bfe7314a47d5b3540d2d8,0,2026-07-01 00:09:25,2026-07-01 00:11:19
183403,8edd0e270700489875e72cee1a355b9b,179895932,5998468,Modest maximalist,ai-studio-8edd0e270700489875e72cee1a355b9b,sheet-8edd0e270700489875e72cee1a355b9b,0,2026-06-30 17:02:17,2026-07-08 10:54:17
161739,477c02d3f2302b5fc279f4f14f8aa7d8,179895932,5998468,Thomas K,ai-studio-477c02d3f2302b5fc279f4f14f8aa7d8,sheet-477c02d3f2302b5fc279f4f14f8aa7d8,0,2026-06-26 10:24:56,2026-06-26 17:19:45
161591,68d2b89f12d75dc469256714bd717d02,179895932,5998468,Simone,ai-studio-68d2b89f12d75dc469256714bd717d02,sheet-68d2b89f12d75dc469256714bd717d02,0,2026-06-26 09:19:56,2026-06-26 10:25:29
109143,f7883566d2e06a0d969bef249a47fd25,179895932,5998468,YT Task 3,ai-studio-f7883566d2e06a0d969bef249a47fd25,sheet-f7883566d2e06a0d969bef249a47fd25,0,2026-06-16 12:43:47,2026-06-26 10:25:41
101707,1875caeaafd58f7425f413e62b4f4cd7,179895932,5998468,AI Studio Sheet,ai-studio-1875caeaafd58f7425f413e62b4f4cd7,sheet-1875caeaafd58f7425f413e62b4f4cd7,0,2026-06-15 09:25:50,2026-06-15 14:44:17
46296,770587651949525268f6cd6d67510604,179895932,5998468,AI Studio Sheet,ai-studio-770587651949525268f6cd6d67510604,sheet-770587651949525268f6cd6d67510604,0,2026-06-05 12:59:54,2026-06-05 15:42:47
17439,021ba8ae91cfce3e95866d804d801124,179895932,5998468,AI Studio Sheet,ai-studio-021ba8ae91cfce3e95866d804d801124,sheet-021ba8ae91cfce3e95866d804d801124,0,2026-05-28 09:40:51,2026-06-02 10:26:30
14222,75aa62fe9baa374c487b92a810460faa,179895932,5998468,Webinar,ai-studio-75aa62fe9baa374c487b92a810460faa,sheet-75aa62fe9baa374c487b92a810460faa,0,2026-05-26 21:22:31,2026-07-22 16:40:35
12190,179da7c35dfc08dc14d9a644edbe42f3,179895932,5998468,YT video,ai-studio-179da7c35dfc08dc14d9a644edbe42f3,sheet-179da7c35dfc08dc14d9a644edbe42f3,0,2026-05-25 13:43:07,2026-05-25 23:36:55
11974,947019e1947ff26eb30e0695b500fb94,179895932,5998468,Rachel renders,ai-studio-947019e1947ff26eb30e0695b500fb94,sheet-947019e1947ff26eb30e0695b500fb94,0,2026-05-25 08:53:22,2026-05-25 10:49:57
5378,d65e8546a89237dac7050816a14370c6,179895932,5998468,AI Studio Sheet,ai-studio-d65e8546a89237dac7050816a14370c6,sheet-d65e8546a89237dac7050816a14370c6,0,2026-05-19 10:22:24,2026-05-22 23:22:43
70,c13fa081e83ec96a27641dd4ef8bc568,179895932,5998468,AI Studio Sheet,ai-studio-c13fa081e83ec96a27641dd4ef8bc568,sheet-c13fa081e83ec96a27641dd4ef8bc568,0,2026-05-14 12:35:16,2026-05-14 19:14:25
