id,hash,cdate,udate,uid,name,title,cover,color,address,address_latitude,address_longitude,price_amount,price_currency,deleted,active,attribute_id,attribute_name,attribute_value,attribute_deleted
24891971,e9e448222d7b4a76b5d56208e5bc8b32,2026-06-11 14:29:08,2026-06-11 14:29:26,179895932,my-space-6ce1ae2f,My Space,0,16764022,"",0,0,0,USD,1,1,92867711,area,"",0
24891971,e9e448222d7b4a76b5d56208e5bc8b32,2026-06-11 14:29:08,2026-06-11 14:29:26,179895932,my-space-6ce1ae2f,My Space,0,16764022,"",0,0,0,USD,1,1,92867715,build_date,"",0
24891971,e9e448222d7b4a76b5d56208e5bc8b32,2026-06-11 14:29:08,2026-06-11 14:29:26,179895932,my-space-6ce1ae2f,My Space,0,16764022,"",0,0,0,USD,1,1,92867719,total_bedrooms,"",0
24891971,e9e448222d7b4a76b5d56208e5bc8b32,2026-06-11 14:29:08,2026-06-11 14:29:26,179895932,my-space-6ce1ae2f,My Space,0,16764022,"",0,0,0,USD,1,1,92867723,total_bathrooms,"",0
24870839,4774a9ca8a766c3fae772ee2ec636f64,2026-06-11 11:20:19,2026-06-11 11:20:54,179895932,my-space-d8dedf7a,My Space,0,16761230,"",0,0,0,USD,1,1,92773619,area,"",0
24870839,4774a9ca8a766c3fae772ee2ec636f64,2026-06-11 11:20:19,2026-06-11 11:20:54,179895932,my-space-d8dedf7a,My Space,0,16761230,"",0,0,0,USD,1,1,92773623,build_date,"",0
24870839,4774a9ca8a766c3fae772ee2ec636f64,2026-06-11 11:20:19,2026-06-11 11:20:54,179895932,my-space-d8dedf7a,My Space,0,16761230,"",0,0,0,USD,1,1,92773627,total_bedrooms,"",0
24870839,4774a9ca8a766c3fae772ee2ec636f64,2026-06-11 11:20:19,2026-06-11 11:20:54,179895932,my-space-d8dedf7a,My Space,0,16761230,"",0,0,0,USD,1,1,92773631,total_bathrooms,"",0
5998468,03fc90e159fac9cef4640b21c7cc9e9b,2025-12-19 11:20:59,2026-06-11 14:29:27,179895932,mi-space-ce2a7961,Mi Space,0,16777215,Hola,0,0,4444,USD,0,1,23431192,area,"",0
5998468,03fc90e159fac9cef4640b21c7cc9e9b,2025-12-19 11:20:59,2026-06-11 14:29:27,179895932,mi-space-ce2a7961,Mi Space,0,16777215,Hola,0,0,4444,USD,0,1,23431196,build_date,2012,0
5998468,03fc90e159fac9cef4640b21c7cc9e9b,2025-12-19 11:20:59,2026-06-11 14:29:27,179895932,mi-space-ce2a7961,Mi Space,0,16777215,Hola,0,0,4444,USD,0,1,23431200,total_bedrooms,5,0
5998468,03fc90e159fac9cef4640b21c7cc9e9b,2025-12-19 11:20:59,2026-06-11 14:29:27,179895932,mi-space-ce2a7961,Mi Space,0,16777215,Hola,0,0,4444,USD,0,1,23431204,total_bathrooms,6,0
