id,type,pid,cdate,udate,uid,space_id,name,color,deleted
4436824,projects,0,2026-06-25 08:09:57,2026-06-25 08:09:57,146673030,12053332,References,#F4C5F5,0
4399976,projects,0,2026-06-08 07:37:48,2026-06-08 07:37:48,146673030,12053332,New Items,#F9E6B4,0
4390552,projects,0,2026-06-04 14:19:02,2026-06-04 14:19:02,146673030,12053332,Design battle,#CCDAFF,0
3882496,projects,0,2025-11-17 14:28:59,2025-11-17 14:28:59,146673030,,Webinar,,0
3756352,projects,0,2025-10-08 10:26:35,2025-10-08 10:26:35,146673030,,Home Scanner,,0
3582872,projects,0,2025-07-16 12:01:24,2025-07-16 12:01:33,146673030,,Design Battle,,0
3558580,projects,0,2025-07-02 15:44:13,2025-07-02 15:44:13,146673030,,Favorites,,0
3018312,projects,0,2025-02-06 10:19:52,2025-07-02 15:44:30,146673030,,SM Tasks,,0
2789087,projects,0,2024-12-11 09:45:12,2025-07-02 15:46:41,146673030,,Clients: Ongoing Projects,,0
2729383,projects,0,2024-11-25 13:12:21,2024-11-25 13:12:21,146673030,,Home Plans,,0
2729183,projects,0,2024-11-25 12:24:07,2024-12-02 06:57:27,146673030,,Home Plans,,1
2707718,projects,0,2024-11-18 16:06:42,2024-11-18 16:06:42,146673030,,Template,,0
2707714,projects,0,2024-11-18 16:06:21,2024-11-18 16:06:21,146673030,,Smart Wizard,,0
2707710,projects,0,2024-11-18 16:06:04,2024-11-18 16:06:04,146673030,,Vanessa's Projects,,0
2707706,projects,0,2024-11-18 16:05:45,2024-11-18 16:05:45,146673030,,Other Projects,,0
2707702,projects,0,2024-11-18 16:05:12,2024-11-18 16:05:12,146673030,,Webutations,,0
2695134,projects,2695130,2024-11-13 17:23:46,2024-11-13 17:23:52,146673030,,Webutations,,1
2695130,projects,0,2024-11-13 17:23:38,2025-07-02 15:46:34,146673030,,Clients: Completed Projects,,0
